date,url
_31_12_2020,https://www.saudiexchange.sa/wps/wcm/connect/bbb46489-3603-4d93-87f6-1c90b44b0f11/Monthly+Trading+and+Ownership+By+Nationality+Report+_31_12_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-bbb46489-3603-4d93-87f6-1c90b44b0f11-oHbCJ-G
_30_11_2020,https://www.saudiexchange.sa/wps/wcm/connect/51101510-66a4-48ce-9cdc-5fca340e8b8f/Monthly+Trading+and+Ownership+By+Nationality+Report+_30_11_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-51101510-66a4-48ce-9cdc-5fca340e8b8f-oHbvqP6
_29_10_2020,https://www.saudiexchange.sa/wps/wcm/connect/006552d4-4ba6-4dfa-98c9-6b58ad9ae5a5/Monthly+Trading+and+Ownership+By+Nationality+Report+_29_10_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-006552d4-4ba6-4dfa-98c9-6b58ad9ae5a5-oHbvw5M
_30_09_2020,https://www.saudiexchange.sa/wps/wcm/connect/1ec0d532-0324-4d60-bc04-254ca0a87b96/Monthly+Trading+and+Ownership+By+Nationality+Report+_30_09_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-1ec0d532-0324-4d60-bc04-254ca0a87b96-oHbvBR2
_31_08_2020,https://www.saudiexchange.sa/wps/wcm/connect/e7bbaaea-eb9b-4b4e-b0dd-b535129a4015/Monthly+Trading+and+Ownership+By+Nationality+Report+_31_08_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-e7bbaaea-eb9b-4b4e-b0dd-b535129a4015-oHbvN0i
_28_07_2020,https://www.saudiexchange.sa/wps/wcm/connect/7d50414e-0134-4fc3-afe5-68cefdea314a/Monthly+Trading+and+Ownership+By+Nationality+Report+_28_07_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-7d50414e-0134-4fc3-afe5-68cefdea314a-oHbvSF6
_30_06_2020,https://www.saudiexchange.sa/wps/wcm/connect/38f0c5e4-54f5-4596-8030-dc362fd4c33c/Monthly+Trading+and+Ownership+By+Nationality+Report+_30_06_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-38f0c5e4-54f5-4596-8030-dc362fd4c33c-oHbw0ZY
_31_05_2020,https://www.saudiexchange.sa/wps/wcm/connect/c18b9d07-17b8-4542-9b6b-fe7ea06d5c27/Monthly+Trading+and+Ownership+By+Nationality+Report+_31_05_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-c18b9d07-17b8-4542-9b6b-fe7ea06d5c27-oHbw65U
_30_04_2020,https://www.saudiexchange.sa/wps/wcm/connect/e308665f-48cd-444f-9d53-bd68c5d79a2f/Monthly+Trading+and+Ownership+By+Nationality+Report+_30_04_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-e308665f-48cd-444f-9d53-bd68c5d79a2f-oHbwhkL
_31_03_2020,https://www.saudiexchange.sa/wps/wcm/connect/a5515b1c-91b1-41fa-ba72-e62e73093ed2/Monthly+Trading+and+Ownership+By+Nationality+Report+_31_03_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-a5515b1c-91b1-41fa-ba72-e62e73093ed2-oHbwmFe
_27_02_2020,https://www.saudiexchange.sa/wps/wcm/connect/34ded234-d541-4a09-9141-43bc98fb8992/Monthly+Trading+and+Ownership+By+Nationality+Report+_27_02_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-34ded234-d541-4a09-9141-43bc98fb8992-oHbwpQZ
_30_01_2020,https://www.saudiexchange.sa/wps/wcm/connect/2f656daf-38e1-40b1-b520-4e18372a287e/Monthly+Trading+and+Ownership+By+Nationality+Report+_30_01_2020.pdf?MOD=AJPERES&CACHEID=ROOTWORKSPACE-2f656daf-38e1-40b1-b520-4e18372a287e-oHbwu5Z
